date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-01,201.75,203.850006,201.350006,201.800003,184.509155,1634669,202.29,5993.25,1462.420044,13412.549805,3112.26001,,2.5,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0.0,2013-01-01,200.2910644445481,Tuesday,3,,,,82.00012000000015,17.999879999999848,39.33329333333328,39.33329333333328,46.444431111111086,46.444431111111086,25.111017777777676,25.111017777777676,201.800003,201.800003,0.0,0.0,0.0
2013-01-02,202.699997,205.899994,202.699997,204.25,186.749207,2310561,204.72,5993.25,1462.420044,13412.549805,3112.26001,0.8999939999999924,3.199996999999996,,,,,,,0,0,0,0,0,0,0,0,0.012140600828181247,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-02,200.07808411343086,Wednesday,4,201.800003,4.099990999999989,4.099990999999989,36.263700036131915,63.736299963868085,47.467628876844884,47.467628876844884,46.78549703302235,46.78549703302235,48.83189256448995,48.83189256448995,203.1270847083333,203.07211682692306,0.05496788141024922,0.0305377118945829,0.04886033903133264
2013-01-03,204.550003,208.5,204.550003,206.449997,188.760681,2794708,206.68,5993.25,1459.369995,13391.360352,3100.570068,0.3000030000000038,3.949996999999996,,,,,,,0,0,0,0,0,0,0,0,0.010770990850847317,0.0,-0.002085617612062718,-0.001579822875446224,-0.0037560942731130753,1.0,0.0,2013-01-03,199.86817330680728,Thursday,2,204.25,4.25,4.177773444444439,28.67139468928234,71.32860531071766,55.421287688135806,55.421287688135806,49.66409391806017,49.66409391806017,66.93567522828708,66.93567522828708,204.42401814318706,204.28575637654015,0.13826176664690593,0.0746869146619284,0.12714970396995506
2013-01-04,206.5,208.25,204.550003,206.100006,188.440704,3021358,206.55,6009.5,1466.469971,13435.209961000002,3101.659912,0.050003000000003794,3.699996999999996,,,,,,,0,0,0,0,0,0,0,0,-0.0016951464590233556,0.0027113836399281777,0.004865096599440566,0.0032744700947020533,0.0003514979426679776,0.0,-0.6251960932641235,2013-01-04,199.7083077580557,Friday,0,206.449997,3.699996999999996,4.006577497257765,33.566377817939355,66.43362218206065,59.09206585277741,59.09206585277741,52.80675122963258,52.80675122963258,71.66269509906707,71.66269509906707,204.9530620112069,204.7929412893137,0.16012072189320747,0.10362790627144029,0.11298563124353436
2013-01-07,206.149994,207.300003,201.399994,203.850006,186.383499,2317712,204.6,6016.149902,1461.890015,13384.290039,3098.810059,0.04998799999998482,5.900009000000011,,,,,,,0,0,0,0,0,0,0,0,-0.010916988507960634,0.0011065649388468657,-0.003123116115959057,-0.0037900354477387044,-0.0009188154345918242,0.0,-9.86565552974872,2013-01-07,199.30856225194714,Monday,1,206.100006,5.900009000000011,4.533779531100964,65.0349356936523,34.965064306347706,51.049732003967506,51.049732003967506,52.22107815441089,52.22107815441089,48.70703970308074,48.70703970308074,204.6533656352584,204.574270706492,0.07909492876640911,0.09632990011216162,-0.03446994269150502
2013-01-08,203.850006,205.949997,201.300003,202.0,184.692017,1963118,202.8,5988.399902,1457.150024,13328.849609,3091.810059,0.0,4.649993999999992,,,,,,,0,0,0,0,0,0,0,0,-0.009075277634958523,-0.004612584535298003,-0.0032423718278149494,-0.004142201778237986,-0.002258931611400228,0.0,1.9675038073577984,2013-01-08,198.81570911015334,Tuesday,3,203.850006,4.649993999999992,4.5605883236814755,90.27781539353424,9.722184606465762,37.273882871466924,37.273882871466924,47.238679726762896,47.238679726762896,17.34428916087498,17.34428916087498,204.00845819284325,204.05866481562825,-0.05020662278499799,0.056610355133965444,-0.21363395583792688
2013-01-09,202.899994,202.899994,196.100006,197.0,180.120422,1557815,199.22,6001.700195,1461.02002,13390.509766,3105.810059,0.8999939999999924,6.799987999999985,,,,,,,0,0,0,0,0,0,0,0,-0.024752531670061306,0.0022210094879533404,0.002655866545145713,0.00462606742583116,0.004528091872670892,0.0,-11.144721264955404,2013-01-09,198.64339192451135,Wednesday,4,202.0,6.799987999999985,5.006213387373194,92.74198035902282,7.258019640977189,27.268595127970343,27.268595127970343,40.58198486049871,40.58198486049871,0.6418156629136149,0.6418156629136149,202.4445452678344,202.8033178693172,-0.3587726014827979,-0.048511989776821966,-0.6205212234119518
2013-01-10,197.850006,197.850006,191.399994,191.75,175.320267,3741034,194.2,5971.5,1472.119995,13471.219727000002,3121.76001,0.8500060000000076,6.450012000000015,,,,,,,0,0,0,0,0,0,0,0,-0.026649698833150604,-0.005031939953475173,0.007597414715782014,0.006027400181950693,0.005135520426878815,0.0,5.296108276241593,2013-01-10,198.46623406738962,Thursday,2,197.0,6.450012000000015,5.261015612685573,97.95318200473142,2.0468179952685834,18.861336083736422,18.861336083736422,33.34176860157794,33.34176860157794,-10.09952895194661,-10.09952895194661,200.21275850659868,201.0223544778593,-0.8095959712606202,-0.23141478271482271,-1.156362377091595
2013-01-11,191.25,193.0,185.0,186.399994,170.428665,4490861,187.69,5968.649902,1472.050049,13488.429688,3125.6298829999996,-0.5,8.0,,,,,,,0,0,0,0,0,0,0,0,-0.027900949979730583,-0.00047728342962405357,-4.7513789798170336e-05,0.0012775354681140438,0.001239644619574598,0.0,58.45782243416159,2013-01-11,198.33144030168734,Friday,0,191.75,8.0,5.698440498272551,94.04257872340429,5.957421276595713,14.560031148022851,14.560031148022851,27.081189450392905,27.081189450392905,-10.482285456717257,-10.482285456717257,197.48010204982418,198.8549996512817,-1.3748976014575192,-0.4955649866919021,-1.7586652295312342
2013-01-14,187.100006,191.300003,184.600006,190.050003,173.76591499999998,3753425,187.92,5951.299805,1470.680054,13507.320313,3117.5,0.7000120000000152,6.699996999999996,,,,,,,0,0,0,0,0,0,0,0,0.019581506432617912,-0.002906871283267387,-0.0009306714815373596,0.0014005058733268516,-0.002601038288063906,1.0,-6.736282595426059,2013-01-14,197.97028567683952,Monday,1,186.399994,6.699996999999996,5.84541799102501,77.19665954727856,22.803340452721443,17.307800916255715,17.307800916255715,23.82339327234717,23.82339327234717,4.276616204072802,4.276616204072802,196.07210116754888,197.63999580968914,-1.56789464214026,-0.735829078163405,-1.6641311279537099
